Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
start_f9570dfd		{i}{cps=20}Che cos'è il crollo? Semplice, è la fine di tutto. La morte senza pace, la morte senza senso. Indossate le maschere, bambini, e ignorate la melodia delle bombe.{/cps}{/i}	game/script.rpy	29	"[what]"
start_6a3e5d3e		{cps=30}Your consciousness stirs as sound comes into focus. It’s coming from outside.{/cps}	game/script.rpy	30	"[what]"
start_d207a082		{cps=30}You roll around in bed as your nerves slowly come back online from slumber, and your sense of smell brings in the brackish water of the canals, the floral breeze of various patios, and the mirad fried pastries and tarts that are being sold out of stands and bakeries nearby.{/cps}	game/script.rpy	31	"[what]"
start_2fbb1456		{cps=30}Your memory returns to you as you process this unique potpourri, you are a tourist in the city of Venice during the {color=#308CDD}{b}Carnevale di Venezia{/b}{/color}.{/cps}	game/script.rpy	32	"[what]"
start_d6f29c75		{cps=30}You open your eyes, revealing your hotel room.{/cps}	game/script.rpy	36	"[what]"
start_f82a56a3		{cps=30}You have not been staying long, and that is evident in the relative cleanliness of this place. Your suitcases are still mostly unpacked.{/cps}	game/script.rpy	37	"[what]"
start_43ba8047		{cps=30}You stretch and stand up out of your bed.{/cps}	game/script.rpy	38	"[what]"
start_b55e57ce		{cps=30}What do you do?{/cps}	game/script.rpy	39	"[what]"
prologuemenu_c0f38799		{cps=30}You already did that.{/cps}	game/script.rpy	47	"[what]"
prologuemenu_c0f38799_1		{cps=30}You already did that.{/cps}	game/script.rpy	53	"[what]"
prologuemenu_c0f38799_2		{cps=30}You already did that.{/cps}	game/script.rpy	59	"[what]"
A1_453776a3		{cps=30}You shower and put on some clothes as the sounds of crowded streets and happy people flow in from your hotel room’s window.{/cps}	game/script.rpy	67	"[what]"
A1_bb37c1d5		{cps=30}What kind of outfit do you put on?{/cps}	game/script.rpy	68	"[what]"
A2_7c9a1bcc		{cps=30}You check the time on your watch...{/cps}	game/script.rpy	73	"[what]"
A2_1fe5bd27		{cps=30}It is currently 9:47 am.{/cps}	game/script.rpy	74	"[what]"
A3_7914a30d		{cps=30}You take time to unpack your bags...{/cps}	game/script.rpy	79	"[what]"
A3_fdef997d		{cps=30}You find 15 money in one of your bags !{/cps}	game/script.rpy	80	"[what]"
A4_6fb3fd36		{cps=30}You decide to leave the room and explore the city.{/cps}	game/script.rpy	86	"[what]"
B1_d3858c82		{cps=30}You put on the outfit, bright colors and tassles envelop you. You still leave a good amount of skin showing, naturally.{/cps}	game/script.rpy	102	"[what]"
B2_9011b6ab		{cps=30}You put on some jeans, a jacket, a t-shirt, and tennis shoes. You also get your water bottle, just in case.{/cps}	game/script.rpy	109	"[what]"
B3_89f5977e		{cps=30}You put on sweatpants, a t-shirt, and flip flops. You massage the bags under your eyes lightly, and make a mental note to grab some coffee later.{/cps}	game/script.rpy	116	"[what]"
B4_d36925da		{cps=30}You put on an ornate mask you purchased for the carnival, along with a cloak. It feels nice, a bit itchy, but nice.{/cps}	game/script.rpy	123	"[what]"
nextScene_17138d18		{cps=30}You walk outside in your outfit, ready to seize the day!{/cps}	game/script.rpy	131	"[what]"
nextScene_ee63b693		{cps=30}After locking your door behind you, walking down the stairs, and grabbing a quick coffee from the complimentary breakfast buffet, you finally step out of the hotel into the surrounding street.{/cps}	game/script.rpy	132	"[what]"
nextScene_637805c5		{cps=30}You walk outside, still fully nude after your shower…{/cps}	game/script.rpy	141	"[what]"
nextScene_69b0ff47		{cps=30}Either you forgot to put on clothes due to morning lethargy, or you are just a very aggressive nudist.{/cps}	game/script.rpy	142	"[what]"
nextScene_e96d199a		{cps=30}Either way, as you walk out of your hotel room with a whistle, you hear screams and gasps of the simultaniously surprised and offended locals.{/cps}	game/script.rpy	143	"[what]"
nextScene_d0d9da0e		{cps=30}One thing leads to another, and you eventually find yourself in the back of a police car, being driven off to the nearest station.{/cps}	game/script.rpy	144	"[what]"
nextScene_c0430af0		{cps=30}Whoops.{/cps}	game/script.rpy	145	"[what]"
street_dee33894		{cps=30}The street is crowded, choked with people wearing costumes, eating food, and making conversation.{/cps}	game/script.rpy	149	"[what]"
street_aa97459c		{cps=30}You try to get your bearings for long enough to make a choice on where you want to go, but the tight streets and waves of pedestrians eventually push you against your control.{/cps}	game/script.rpy	150	"[what]"
street_a983b978		{cps=30}You eventually stop trying to push against the people, letting them cart you away...{/cps}	game/script.rpy	151	"[what]"
plaza_0a18ef5a		{cps=30}You find yourself in a large plaza, with stands and attractions filling the usually empty space.{/cps}	game/script.rpy	160	"[what]"
plaza_c5113d82		{cps=30}People seem to be less clumped together here, which allows you enough space to ambulate of your own voliton.{/cps}	game/script.rpy	161	"[what]"
plaza_b2da8d93		{cps=30}You see a small stage, an inviting looking shopkeeper's stand, and a sign pointing to the canals.{/cps}	game/script.rpy	162	"[what]"
plaza_ed2d0a32		{cps=30}Where do you go?{/cps}	game/script.rpy	163	"[what]"
C1first_3d26cf0f		{cps=30}You walk up to the small stage...{/cps}	game/script.rpy	191	"[what]"
C1first_5380e445		{cps=30}It seems empty, like the show hasn't started yet.{/cps}	game/script.rpy	192	"[what]"
C1first_06e387d0		{cps=30}You prepare to leave before...{/cps}	game/script.rpy	193	"[what]"
C1first_fdd68003	p	{cps=30}{size=+10}Heeeellllloooo there!{/size}{/cps}	game/script.rpy	194	p "[what]"
C1first_6fe56ee0		{cps=30}You hear a voice.{/cps}	game/script.rpy	195	"[what]"
C1first_26d1f11a	p	{cps=30}Welcome, welcome, welcome! I am {color=#308CDD}Puck{/color}, performer, reformer, and adorer of anyone that will tolerate me.{/cps}	game/script.rpy	198	p "[what]"
C1first_b63681a7		{cps=30}The strange man bows in a dramatic flourish.{/cps}	game/script.rpy	199	"[what]"
C1first_bc6c08f2		{cps=30}He seems incredibly obnoxious, but there is a sparkle of insight in his eyes.{/cps}	game/script.rpy	200	"[what]"
C1first_ce8da17f		{cps=30}He is more aware and sharp than he would like you to know.{/cps}	game/script.rpy	201	"[what]"
C1first_d5403d44	p	{cps=30}How can I help you Signore and/or Signora?{/cps}	game/script.rpy	203	p "[what]"
C1_d5403d44	p	{cps=30}How can I help you Signore and/or Signora?{/cps}	game/script.rpy	207	p "[what]"
D1_4b5806e1	p	{cps=30}Well friend, I have much to tell!{/cps}	game/script.rpy	227	p "[what]"
D1_06fd24bf		{cps=30}You can see Puck's demeanor change, like that of an unwinding spring.{/cps}	game/script.rpy	228	"[what]"
D1_ec651fcb		{cps=30}He has wanted to talk to someone about his past for a very long time.{/cps}	game/script.rpy	229	"[what]"
D1_92a1b87c	p	{cps=30}I started my life as a lowly butcher’s son, dreaming of the world outside my rural town in the tuscan countryside.{/cps}	game/script.rpy	230	p "[what]"
D1_b7e142b5	p	{cps=30}I found my release in theatre and performance, but every night I was forced back into my humdrum home.{/cps}	game/script.rpy	231	p "[what]"
D1_05d87922	p	{cps=30}Thats why I hatched a plan… I tricked my father into leaving his keys on the table then used a distraction to draw him outside and buy me enough time to take his car and drive off on the open road!{/cps}	game/script.rpy	232	p "[what]"
D1_f9034923	p	{cps=30}Freedom was mine at last!{/cps}	game/script.rpy	233	p "[what]"
D1_1a0ea573	p	{cps=30}I found others on the road who shared my view on art and life, and we formed a quaint theater company together: ‘La compagnia dello specchio e della mente!’{/cps}	game/script.rpy	234	p "[what]"
D1_fc319ee2	p	{cps=30}‘The company of mirror and mind’.{/cps}	game/script.rpy	235	p "[what]"
D1_ed067693		{cps=30}You see fire in his eyes, but behind that… something else…{/cps}	game/script.rpy	236	"[what]"
D1_22f80483		{cps=30}Sadness. His memories of his company are stained by some kind of old wound, some old mistake.{/cps}	game/script.rpy	237	"[what]"
D1_bf1c07c3	p	{cps=30}Yes, well. Nowadays, I find myself as more of a solo act than I used to be…{/cps}	game/script.rpy	238	p "[what]"
D1_0fb976dc	p	{cps=30}But nothing to feel sorrow over! All that matters is the future, eh amico?{/cps}	game/script.rpy	239	p "[what]"
D2_a3819abb	p	{cps=30}The locals? Most people keep to themselves, but we are in venice, drama and love is never far.{/cps}	game/script.rpy	244	p "[what]"
D2_593600bf	p	{cps=30}If you are digging for gossip, I have heard on the breeze that a poor gondolier by the name of Path has fallen in love with a fair lady named Poem.{/cps}	game/script.rpy	245	p "[what]"
D2_c686f429	p	{cps=30}However, she is the daughter of Il Patriarca, who is known for excommunicating any boy who shows a glimmer of interest in his daughter.{/cps}	game/script.rpy	246	p "[what]"
D2_0a4fa792	p	{cps=30}I hope those two lovebirds figure it out, but I have seen many a boy in Path’s position.{/cps}	game/script.rpy	247	p "[what]"
D2_5d5576fc	p	{cps=30}It never ends well.{/cps}	game/script.rpy	248	p "[what]"
D3_d4108510	p	{cps=30}The show is going to be in four hours, please come back later!{/cps}	game/script.rpy	253	p "[what]"
D3_acefb0dc	p	{cps=30}It is going to be a thrilling tale of love, triumphant over dark forces in the world!{/cps}	game/script.rpy	254	p "[what]"
D3_77456f2c	p	{cps=30}A five act puppet show, with one actor in eight roles!{/cps}	game/script.rpy	255	p "[what]"
D3_7eb0e95b		{cps=30}Sounds like an absolute trainwreck…{/cps}	game/script.rpy	256	"[what]"
D3_f17f213d		{cps=30}You should see it as soon as possible.{/cps}	game/script.rpy	257	"[what]"
